timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
03/01/2000 23:43:00,NA,NA,0.005199901
03/01/2000 23:43:15,NA,NA,0.005192139
03/01/2000 23:43:30,NA,NA,0.005225542
03/01/2000 23:43:45,NA,NA,0.074164264
03/01/2000 23:44:00,NA,NA,0.022054038
03/01/2000 23:44:15,NA,NA,0.034320281
03/01/2000 23:44:30,144,NA,0.030773123
03/01/2000 23:44:45,48,NA,0.018036844
03/01/2000 23:45:00,188,NA,0.114192753
03/01/2000 23:45:15,67,NA,0.015362785
03/01/2000 23:45:30,2,1,0.003732168
03/01/2000 23:45:45,0,1,0.003883512
03/01/2000 23:46:00,0,1,0.003830941
03/01/2000 23:46:15,0,0,0.003685865
03/01/2000 23:46:30,0,0,0.003507506
03/01/2000 23:46:45,0,0,0.003422631
03/01/2000 23:47:00,0,1,0.003400104
03/01/2000 23:47:15,0,1,0.004181824
03/01/2000 23:47:30,0,1,0.002449123
03/01/2000 23:47:45,0,1,0.002308611
03/01/2000 23:48:00,88,1,0.071171763
03/01/2000 23:48:15,144,1,0.146570186
03/01/2000 23:48:30,26,1,0.021089054
03/01/2000 23:48:45,67,1,0.053405164
03/01/2000 23:49:00,109,1,0.142274675
03/01/2000 23:49:15,201,1,0.098061311
03/01/2000 23:49:30,0,1,0.001763105
03/01/2000 23:49:45,16,1,0.019254498
03/01/2000 23:50:00,0,1,0.001463327
03/01/2000 23:50:15,0,1,0.001460489
03/01/2000 23:50:30,0,0,0.001422627
03/01/2000 23:50:45,0,0,0.001541727
03/01/2000 23:51:00,0,0,0.001461671
03/01/2000 23:51:15,0,0,0.00140502
03/01/2000 23:51:30,0,0,0.001778613
03/01/2000 23:51:45,0,0,0.001859432
03/01/2000 23:52:00,0,0,0.001832988
03/01/2000 23:52:15,0,0,0.001794063
03/01/2000 23:52:30,0,0,0.002416474
03/01/2000 23:52:45,0,0,0.00160458
03/01/2000 23:53:00,0,0,0.001607565
03/01/2000 23:53:15,0,0,0.001533218
03/01/2000 23:53:30,21,1,0.015962848
03/01/2000 23:53:45,0,0,0.001397671
03/01/2000 23:54:00,0,0,0.001359475
03/01/2000 23:54:15,17,1,0.014919877
03/01/2000 23:54:30,0,0,0.001277578
03/01/2000 23:54:45,0,0,0.001333494
03/01/2000 23:55:00,0,0,0.001321845
03/01/2000 23:55:15,0,0,0.002486704
03/01/2000 23:55:30,0,0,0.001473104
03/01/2000 23:55:45,0,0,0.002311604
03/01/2000 23:56:00,0,0,0.001248707
