timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
23/01/2000 23:17:00,125,NA,0.161739181
23/01/2000 23:17:15,194,NA,0.175914556
23/01/2000 23:17:30,54,NA,0.036983579
23/01/2000 23:17:45,12,1,0.018539098
23/01/2000 23:18:00,34,1,0.026954842
23/01/2000 23:18:15,0,1,0.010568395
23/01/2000 23:18:30,67,1,0.067423125
23/01/2000 23:18:45,5,1,0.014145243
23/01/2000 23:19:00,0,1,0.01057984
23/01/2000 23:19:15,0,1,0.012997283
23/01/2000 23:19:30,26,1,0.02845024
23/01/2000 23:19:45,0,0,0.006175009
23/01/2000 23:20:00,50,1,0.028827682
23/01/2000 23:20:15,3,1,0.026018954
23/01/2000 23:20:30,25,1,0.009474549
23/01/2000 23:20:45,6,1,0.006905727
23/01/2000 23:21:00,7,1,0.019901551
23/01/2000 23:21:15,0,0,0.010223708
23/01/2000 23:21:30,4,1,0.013891686
23/01/2000 23:21:45,29,1,0.031224312
23/01/2000 23:22:00,42,1,0.036892282
23/01/2000 23:22:15,0,0,0.001472908
23/01/2000 23:22:30,0,0,0.002458762
23/01/2000 23:22:45,0,0,0.001270033
23/01/2000 23:23:00,0,0,0.001446075
23/01/2000 23:23:15,0,1,0.001335467
23/01/2000 23:23:30,0,1,0.001330536
23/01/2000 23:23:45,12,1,0.037069715
23/01/2000 23:24:00,113,1,0.077102513
23/01/2000 23:24:15,0,1,0.002793704
23/01/2000 23:24:30,32,1,0.037406773
23/01/2000 23:24:45,50,1,0.038806511
23/01/2000 23:25:00,30,1,0.039569667
23/01/2000 23:25:15,229,1,0.16525453
23/01/2000 23:25:30,32,1,0.051127384
23/01/2000 23:25:45,5,1,0.016954863
23/01/2000 23:26:00,88,1,0.081204002
23/01/2000 23:26:15,20,1,0.038869694
23/01/2000 23:26:30,17,1,0.039562255
23/01/2000 23:26:45,0,1,0.00341453
23/01/2000 23:27:00,19,1,0.033904184
23/01/2000 23:27:15,52,1,0.052401758
23/01/2000 23:27:30,52,1,0.052308654
23/01/2000 23:27:45,15,1,0.022930282
23/01/2000 23:28:00,5,1,0.012336462
23/01/2000 23:28:15,11,1,0.020698742
23/01/2000 23:28:30,58,1,0.057289068
23/01/2000 23:28:45,88,1,0.061509129
23/01/2000 23:29:00,40,1,0.043903074
23/01/2000 23:29:15,73,1,0.071201007
23/01/2000 23:29:30,0,1,0.006045944
23/01/2000 23:29:45,6,1,0.011366644
23/01/2000 23:30:00,3,1,0.006788264
23/01/2000 23:30:15,0,0,0.00443905
23/01/2000 23:30:30,0,0,0.008237269
23/01/2000 23:30:45,0,0,0.004056493
23/01/2000 23:31:00,0,0,0.003056298
23/01/2000 23:31:15,0,0,0.003058108
23/01/2000 23:31:30,3,1,0.010697628
23/01/2000 23:31:45,4,1,0.012998064
23/01/2000 23:32:00,94,1,0.071746971
23/01/2000 23:32:15,0,1,0.006269823
23/01/2000 23:32:30,0,1,0.002673738
23/01/2000 23:32:45,34,1,0.04809866
23/01/2000 23:33:00,229,1,0.150233631
23/01/2000 23:33:15,38,1,0.015727505
23/01/2000 23:33:30,0,1,0.00225153
23/01/2000 23:33:45,0,1,0.002058007
23/01/2000 23:34:00,0,1,0.002333051
23/01/2000 23:34:15,0,1,0.002469349
23/01/2000 23:34:30,42,1,0.043786444
23/01/2000 23:34:45,176,1,0.128624344
23/01/2000 23:35:00,101,1,0.052408752
23/01/2000 23:35:15,0,1,0.003788372
23/01/2000 23:35:30,0,1,0.002922596
23/01/2000 23:35:45,0,1,0.00209213
23/01/2000 23:36:00,0,0,0.006804969
23/01/2000 23:36:15,3,0,0.00229591
23/01/2000 23:36:30,0,0,0.002186411
23/01/2000 23:36:45,0,0,0.00210235
23/01/2000 23:37:00,0,0,0.002091026
23/01/2000 23:37:15,0,0,0.002046808
