timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
24/01/2000 22:47:00,64,NA,0.057857303
24/01/2000 22:47:15,94,1,0.089408762
24/01/2000 22:47:30,76,1,0.092138682
24/01/2000 22:47:45,73,1,0.115366404
24/01/2000 22:48:00,308,1,0.228737335
24/01/2000 22:48:15,36,1,0.01386332
24/01/2000 22:48:30,0,1,0.002894532
24/01/2000 22:48:45,3,1,0.00477903
24/01/2000 22:49:00,8,1,0.005786506
24/01/2000 22:49:15,13,1,0.00603037
24/01/2000 22:49:30,18,1,0.006019997
24/01/2000 22:49:45,9,1,0.012582779
24/01/2000 22:50:00,11,1,0.006570548
24/01/2000 22:50:15,4,0,0.005846365
24/01/2000 22:50:30,0,0,0.004150062
24/01/2000 22:50:45,6,0,0.005766927
24/01/2000 22:51:00,19,1,0.014570165
24/01/2000 22:51:15,0,0,0.006678994
24/01/2000 22:51:30,4,0,0.005194089
24/01/2000 22:51:45,17,1,0.008724877
24/01/2000 22:52:00,2,0,0.006595089
24/01/2000 22:52:15,2,0,0.003483026
24/01/2000 22:52:30,2,0,0.003173874
24/01/2000 22:52:45,0,0,0.003334604
24/01/2000 22:53:00,0,0,0.002607725
24/01/2000 22:53:15,0,0,0.003300309
24/01/2000 22:53:30,3,0,0.003253625
24/01/2000 22:53:45,0,0,0.002776674
24/01/2000 22:54:00,0,0,0.004150078
24/01/2000 22:54:15,2,0,0.009341142
24/01/2000 22:54:30,22,1,0.01852174
24/01/2000 22:54:45,0,0,0.002512036
24/01/2000 22:55:00,2,0,0.005050343
24/01/2000 22:55:15,8,1,0.008107225
24/01/2000 22:55:30,18,1,0.0066163
24/01/2000 22:55:45,10,1,0.005134193
24/01/2000 22:56:00,5,1,0.004867304
24/01/2000 22:56:15,7,1,0.005431741
24/01/2000 22:56:30,17,1,0.006144689
24/01/2000 22:56:45,25,1,0.005328962
24/01/2000 22:57:00,13,1,0.005474705
24/01/2000 22:57:15,8,1,0.004389724
24/01/2000 22:57:30,10,1,0.006785028
24/01/2000 22:57:45,4,0,0.005913538
24/01/2000 22:58:00,14,1,0.007255995
24/01/2000 22:58:15,4,0,0.004671302
24/01/2000 22:58:30,4,0,0.002800739
24/01/2000 22:58:45,4,0,0.003754627
24/01/2000 22:59:00,9,1,0.005478633
24/01/2000 22:59:15,0,0,0.005682128
24/01/2000 22:59:30,19,1,0.005383106
24/01/2000 22:59:45,19,1,0.007669069
24/01/2000 23:00:00,9,1,0.007412383
24/01/2000 23:00:15,5,0,0.005859515
24/01/2000 23:00:30,5,1,0.006839681
24/01/2000 23:00:45,0,0,0.006049085
24/01/2000 23:01:00,2,0,0.006329285
24/01/2000 23:01:15,4,1,0.005902732
24/01/2000 23:01:30,5,1,0.006615654
24/01/2000 23:01:45,2,1,0.00542028
24/01/2000 23:02:00,2,1,0.003114274
24/01/2000 23:02:15,117,1,0.110109423
24/01/2000 23:02:30,201,1,0.199807208
24/01/2000 23:02:45,42,1,0.031289383
24/01/2000 23:03:00,0,1,0.002548946
24/01/2000 23:03:15,2,1,0.002373904
24/01/2000 23:03:30,0,1,0.001496834
24/01/2000 23:03:45,88,1,0.059910916
24/01/2000 23:04:00,109,1,0.068995434
24/01/2000 23:04:15,0,1,0.003145881
24/01/2000 23:04:30,0,1,0.002927055
24/01/2000 23:04:45,2,1,0.006657066
24/01/2000 23:05:00,0,0,0.00326137
24/01/2000 23:05:15,0,0,0.003414957
24/01/2000 23:05:30,0,0,0.003375099
24/01/2000 23:05:45,0,0,0.003313233
24/01/2000 23:06:00,0,0,0.003363595
24/01/2000 23:06:15,0,0,0.003419636
24/01/2000 23:06:30,0,0,0.003344795
24/01/2000 23:06:45,0,0,0.003361918
24/01/2000 23:07:00,0,0,0.00319096
24/01/2000 23:07:15,0,0,0.003696919
24/01/2000 23:07:30,0,0,0.003583605
24/01/2000 23:07:45,0,0,0.003568565
24/01/2000 23:08:00,0,0,0.003557662
