timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
15/01/2000 00:06:00,NA,NA,0.091199404
15/01/2000 00:06:15,NA,NA,0.046923087
15/01/2000 00:06:30,NA,NA,1.130759397
15/01/2000 00:06:45,134,NA,0.081659526
15/01/2000 00:07:00,159,NA,0.089497062
15/01/2000 00:07:15,261,NA,0.113025786
15/01/2000 00:07:30,215,NA,0.200719577
15/01/2000 00:07:45,0,1,0.073109385
15/01/2000 00:08:00,5,1,0.003321502
15/01/2000 00:08:15,0,1,0.006975341
15/01/2000 00:08:30,0,1,0.003314073
15/01/2000 00:08:45,0,0,0.002471067
15/01/2000 00:09:00,8,1,0.009970666
15/01/2000 00:09:15,0,0,0.002215658
15/01/2000 00:09:30,0,0,0.002488129
15/01/2000 00:09:45,0,0,0.001962154
15/01/2000 00:10:00,0,0,0.002094931
15/01/2000 00:10:15,4,0,0.002247636
15/01/2000 00:10:30,0,0,0.007807555
15/01/2000 00:10:45,0,0,0.003208142
15/01/2000 00:11:00,0,0,0.002729846
15/01/2000 00:11:15,0,0,0.002666542
15/01/2000 00:11:30,0,0,0.002817807
15/01/2000 00:11:45,0,0,0.002619624
15/01/2000 00:12:00,0,0,0.002855352
15/01/2000 00:12:15,0,0,0.002797883
15/01/2000 00:12:30,0,0,0.002954851
15/01/2000 00:12:45,0,0,0.002866099
15/01/2000 00:13:00,0,0,0.002789978
15/01/2000 00:13:15,0,0,0.002983934
15/01/2000 00:13:30,0,0,0.00286027
15/01/2000 00:13:45,0,0,0.002886158
15/01/2000 00:14:00,0,0,0.003662573
15/01/2000 00:14:15,0,0,0.002761503
15/01/2000 00:14:30,0,0,0.002860941
15/01/2000 00:14:45,0,0,0.002847022
15/01/2000 00:15:00,0,0,0.002815485
15/01/2000 00:15:15,0,0,0.002857044
15/01/2000 00:15:30,0,0,0.002896614
15/01/2000 00:15:45,0,0,0.0029106
15/01/2000 00:16:00,0,0,0.002761757
15/01/2000 00:16:15,0,0,0.003621586
15/01/2000 00:16:30,0,0,0.002702504
15/01/2000 00:16:45,0,0,0.003655261
15/01/2000 00:17:00,0,0,0.004481205
15/01/2000 00:17:15,0,0,0.003174379
15/01/2000 00:17:30,0,0,0.002769188
15/01/2000 00:17:45,0,0,0.002705499
15/01/2000 00:18:00,0,0,0.002911057
15/01/2000 00:18:15,0,0,0.002756108
