timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
18/01/2000 23:51:00,134,NA,NA
18/01/2000 23:51:15,82,NA,NA
18/01/2000 23:51:30,91,NA,NA
18/01/2000 23:51:45,82,1,NA
18/01/2000 23:52:00,91,1,NA
18/01/2000 23:52:15,328,1,NA
18/01/2000 23:52:30,288,1,NA
18/01/2000 23:52:45,154,1,NA
18/01/2000 23:53:00,134,1,NA
18/01/2000 23:53:15,30,1,NA
18/01/2000 23:53:30,48,1,NA
18/01/2000 23:53:45,134,1,NA
18/01/2000 23:54:00,139,1,NA
18/01/2000 23:54:15,2,1,0.003450701
18/01/2000 23:54:30,0,1,0.007212719
18/01/2000 23:54:45,0,1,0.003065002
18/01/2000 23:55:00,0,1,0.003436854
18/01/2000 23:55:15,0,0,0.002238122
18/01/2000 23:55:30,0,0,0.002893785
18/01/2000 23:55:45,0,0,0.002158857
18/01/2000 23:56:00,0,0,0.002030892
18/01/2000 23:56:15,0,0,0.002069094
18/01/2000 23:56:30,0,0,0.002027386
18/01/2000 23:56:45,0,0,0.002067667
18/01/2000 23:57:00,6,0,0.015550511
18/01/2000 23:57:15,11,1,0.012506915
18/01/2000 23:57:30,0,0,0.001883678
18/01/2000 23:57:45,0,0,0.001945234
18/01/2000 23:58:00,0,0,0.00182008
18/01/2000 23:58:15,0,0,0.001987617
18/01/2000 23:58:30,0,0,0.002241013
18/01/2000 23:58:45,0,0,0.002745471
18/01/2000 23:59:00,2,0,0.005852877
18/01/2000 23:59:15,0,0,0.003083317
18/01/2000 23:59:30,0,0,0.001743777
18/01/2000 23:59:45,0,0,0.001826985
19/01/2000 00:00:00,0,0,0.00178882
19/01/2000 00:00:15,0,0,0.002403037
19/01/2000 00:00:30,0,0,0.001858691
19/01/2000 00:00:45,0,0,0.010793166
19/01/2000 00:01:00,7,0,0.003048504
19/01/2000 00:01:15,0,0,0.001934188
19/01/2000 00:01:30,5,0,0.005169837
19/01/2000 00:01:45,0,0,0.001768018
19/01/2000 00:02:00,0,0,0.001714133
19/01/2000 00:02:15,0,0,0.001744146
