timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
28/01/2000 04:45:00,40,1,0.048575164
28/01/2000 04:45:15,62,1,0.062645227
28/01/2000 04:45:30,52,1,0.094143246
28/01/2000 04:45:45,188,1,0.097954357
28/01/2000 04:46:00,88,1,0.097100876
28/01/2000 04:46:15,50,1,0.076715913
28/01/2000 04:46:30,82,1,0.075627964
28/01/2000 04:46:45,10,1,0.017676503
28/01/2000 04:47:00,0,1,0.016615919
28/01/2000 04:47:15,8,1,0.037325143
28/01/2000 04:47:30,30,1,0.038677888
28/01/2000 04:47:45,0,1,0.021886108
28/01/2000 04:48:00,0,1,0.018507673
28/01/2000 04:48:15,8,1,0.023666358
28/01/2000 04:48:30,0,1,0.020879339
28/01/2000 04:48:45,50,1,0.044900408
28/01/2000 04:49:00,4,1,0.017940522
28/01/2000 04:49:15,67,1,0.09438532
28/01/2000 04:49:30,82,1,0.064777821
28/01/2000 04:49:45,40,1,0.056020803
28/01/2000 04:50:00,105,1,0.071533306
28/01/2000 04:50:15,139,1,0.159173872
28/01/2000 04:50:30,194,1,0.193145583
28/01/2000 04:50:45,208,1,0.197702853
28/01/2000 04:51:00,298,1,0.226598212
28/01/2000 04:51:15,298,1,0.238934784
28/01/2000 04:51:30,245,1,0.173094464
28/01/2000 04:51:45,6,1,0.006665922
28/01/2000 04:52:00,0,1,0.003570512
28/01/2000 04:52:15,318,1,0.305658454
28/01/2000 04:52:30,139,1,0.111152323
28/01/2000 04:52:45,0,1,0.003260218
28/01/2000 04:53:00,0,1,0.00750039
28/01/2000 04:53:15,22,1,0.022460884
28/01/2000 04:53:30,3,1,0.018504095
28/01/2000 04:53:45,101,1,0.031409704
28/01/2000 04:54:00,0,1,0.001626949
28/01/2000 04:54:15,0,1,0.001504053
28/01/2000 04:54:30,0,1,0.002034694
28/01/2000 04:54:45,0,0,0.001510334
28/01/2000 04:55:00,82,1,0.070921922
28/01/2000 04:55:15,0,0,0.003105809
28/01/2000 04:55:30,5,1,0.00512421
28/01/2000 04:55:45,0,0,0.002954606
28/01/2000 04:56:00,0,0,0.002482473
28/01/2000 04:56:15,0,0,0.002485918
28/01/2000 04:56:30,0,0,0.002568482
28/01/2000 04:56:45,0,0,0.003659787
28/01/2000 04:57:00,0,0,0.003052067
28/01/2000 04:57:15,0,0,0.015774231
28/01/2000 04:57:30,20,1,0.040408342
28/01/2000 04:57:45,42,1,0.036010148
28/01/2000 04:58:00,88,1,0.058416441
28/01/2000 04:58:15,36,1,0.033019074
28/01/2000 04:58:30,0,0,0.003350166
28/01/2000 04:58:45,0,0,0.002792725
28/01/2000 04:59:00,0,0,0.002486605
28/01/2000 04:59:15,0,0,0.003907312
28/01/2000 04:59:30,0,0,0.00259822
28/01/2000 04:59:45,0,0,0.00328322
28/01/2000 05:00:00,3,0,0.005219344
28/01/2000 05:00:15,0,0,0.002120115
28/01/2000 05:00:30,0,0,0.001693998
28/01/2000 05:00:45,0,0,0.003001256
28/01/2000 05:01:00,0,0,0.001768895
28/01/2000 05:01:15,0,0,0.003241008
28/01/2000 05:01:30,0,0,0.002584523
28/01/2000 05:01:45,0,0,0.001830076
28/01/2000 05:02:00,0,0,0.002385605
28/01/2000 05:02:15,0,0,0.004251987
28/01/2000 05:02:30,0,0,0.001996739
28/01/2000 05:02:45,0,0,0.003059716
