timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
22/01/2000 20:58:00,NA,NA,0.209673428
22/01/2000 20:58:15,109,NA,0.22764753
22/01/2000 20:58:30,170,NA,0.217088563
22/01/2000 20:58:45,91,NA,0.267527505
22/01/2000 20:59:00,101,NA,0.22239743
22/01/2000 20:59:15,125,1,0.262205046
22/01/2000 20:59:30,105,1,0.283416982
22/01/2000 20:59:45,176,1,0.314252609
22/01/2000 21:00:00,105,1,0.328872314
22/01/2000 21:00:15,159,1,0.444263781
22/01/2000 21:00:30,215,1,0.521920759
22/01/2000 21:00:45,208,1,0.515725261
22/01/2000 21:01:00,91,1,0.318492499
22/01/2000 21:01:15,97,1,0.348384696
22/01/2000 21:01:30,134,1,0.301677907
22/01/2000 21:01:45,125,1,0.292100939
22/01/2000 21:02:00,117,1,0.30611566
22/01/2000 21:02:15,76,1,0.27341503
22/01/2000 21:02:30,73,1,0.242683015
22/01/2000 21:02:45,385,1,0.276460111
22/01/2000 21:03:00,2,1,0.004816488
22/01/2000 21:03:15,0,1,0.002099013
22/01/2000 21:03:30,0,1,0.002392532
22/01/2000 21:03:45,0,1,0.002088789
22/01/2000 21:04:00,0,0,0.00205244
22/01/2000 21:04:15,0,0,0.001938639
22/01/2000 21:04:30,0,0,0.001992665
22/01/2000 21:04:45,0,0,0.002050747
22/01/2000 21:05:00,0,0,0.001955947
22/01/2000 21:05:15,0,0,0.002015185
22/01/2000 21:05:30,0,0,0.001976107
22/01/2000 21:05:45,0,0,0.002137505
22/01/2000 21:06:00,0,0,0.00198082
22/01/2000 21:06:15,0,0,0.00201726
22/01/2000 21:06:30,0,0,0.00233707
22/01/2000 21:06:45,0,0,0.001996037
22/01/2000 21:07:00,0,0,0.002134656
22/01/2000 21:07:15,0,0,0.002274545
22/01/2000 21:07:30,0,0,0.010872612
22/01/2000 21:07:45,0,0,0.016401191
22/01/2000 21:08:00,2,0,0.0489828
22/01/2000 21:08:15,11,1,0.057827932
22/01/2000 21:08:30,6,0,0.056332319
22/01/2000 21:08:45,16,1,0.063029328
22/01/2000 21:09:00,2,0,0.062073998
22/01/2000 21:09:15,19,1,0.095806642
22/01/2000 21:09:30,17,1,0.090477782
22/01/2000 21:09:45,0,0,0.046667732
22/01/2000 21:10:00,12,1,0.066137779
22/01/2000 21:10:15,2,0,0.039260823
22/01/2000 21:10:30,2,0,0.040762928
22/01/2000 21:10:45,0,0,0.046504825
22/01/2000 21:11:00,11,1,0.050435729
22/01/2000 21:11:15,20,1,0.065335843
22/01/2000 21:11:30,0,0,0.034014514
22/01/2000 21:11:45,17,1,0.067889449
22/01/2000 21:12:00,36,1,0.085511694
22/01/2000 21:12:15,12,1,0.067696868
22/01/2000 21:12:30,9,1,0.072449168
22/01/2000 21:12:45,19,1,0.069422126
22/01/2000 21:13:00,7,1,0.071720221
22/01/2000 21:13:15,10,1,0.065326786
22/01/2000 21:13:30,16,1,0.072020307
22/01/2000 21:13:45,21,1,0.077301918
22/01/2000 21:14:00,10,1,0.047667371
22/01/2000 21:14:15,11,1,0.056885466
22/01/2000 21:14:30,24,1,0.069967942
22/01/2000 21:14:45,11,1,0.062249291
22/01/2000 21:15:00,9,1,0.05742944
22/01/2000 21:15:15,13,1,0.060221427
22/01/2000 21:15:30,16,1,0.058079903
22/01/2000 21:15:45,11,1,0.065171176
22/01/2000 21:16:00,7,1,0.070645602
22/01/2000 21:16:15,8,1,0.06343327
22/01/2000 21:16:30,7,1,0.056384019
22/01/2000 21:16:45,11,1,0.061679789
22/01/2000 21:17:00,2,0,0.045068555
22/01/2000 21:17:15,2,0,0.045913153
22/01/2000 21:17:30,5,0,0.05342719
22/01/2000 21:17:45,4,0,0.07213441
22/01/2000 21:18:00,7,0,0.074822145
22/01/2000 21:18:15,19,1,0.082175297
22/01/2000 21:18:30,0,0,0.051260878
22/01/2000 21:18:45,0,0,0.055557085
22/01/2000 21:19:00,0,0,0.060792426
22/01/2000 21:19:15,3,0,0.055651341
22/01/2000 21:19:30,0,0,0.026927353
22/01/2000 21:19:45,2,0,0.047054374
22/01/2000 21:20:00,0,0,0.033083444
22/01/2000 21:20:15,0,0,0.016171563
22/01/2000 21:20:30,0,0,0.014523221
22/01/2000 21:20:45,0,0,0.019809331
22/01/2000 21:21:00,3,0,0.055340413
22/01/2000 21:21:15,42,1,0.104370385
22/01/2000 21:21:30,4,0,0.075025642
22/01/2000 21:21:45,7,1,0.064162937
22/01/2000 21:22:00,0,0,0.020184833
22/01/2000 21:22:15,15,1,0.066095842
22/01/2000 21:22:30,26,1,0.073848335
22/01/2000 21:22:45,0,0,0.013667755
22/01/2000 21:23:00,0,0,0.013690809
22/01/2000 21:23:15,0,0,0.013906233
22/01/2000 21:23:30,0,0,0.019409092
22/01/2000 21:23:45,11,1,0.067989794
22/01/2000 21:24:00,10,1,0.073232469
22/01/2000 21:24:15,0,0,0.053007525
22/01/2000 21:24:30,0,0,0.056646047
22/01/2000 21:24:45,6,0,0.075678407
22/01/2000 21:25:00,24,1,0.097396741
22/01/2000 21:25:15,2,0,0.042098097
22/01/2000 21:25:30,0,0,0.027067278
22/01/2000 21:25:45,2,0,0.019051133
22/01/2000 21:26:00,14,1,0.00804362
22/01/2000 21:26:15,5,0,0.004311472
22/01/2000 21:26:30,0,0,0.003474262
22/01/2000 21:26:45,0,0,0.003262013
22/01/2000 21:27:00,0,0,0.003292844
22/01/2000 21:27:15,0,0,0.003303321
22/01/2000 21:27:30,0,0,0.003295334
22/01/2000 21:27:45,0,0,0.003217322
22/01/2000 21:28:00,0,0,0.003222447
22/01/2000 21:28:15,0,0,0.003292736
22/01/2000 21:28:30,0,0,0.003196696
22/01/2000 21:28:45,0,0,0.003408251
22/01/2000 21:29:00,0,0,0.003188203
22/01/2000 21:29:15,0,0,0.003219958
22/01/2000 21:29:30,0,0,0.003259417
22/01/2000 21:29:45,0,0,0.003395413
22/01/2000 21:30:00,0,0,0.003368841
22/01/2000 21:30:15,0,0,0.003196791
22/01/2000 21:30:30,0,0,0.003287271
22/01/2000 21:30:45,0,0,0.00321725
22/01/2000 21:31:00,0,0,0.003228319
22/01/2000 21:31:15,0,0,0.003237166
22/01/2000 21:31:30,0,0,0.003226616
22/01/2000 21:31:45,0,0,0.003236027
22/01/2000 21:32:00,0,0,0.003218455
22/01/2000 21:32:15,0,0,0.003478043
22/01/2000 21:32:30,0,0,0.003252263
22/01/2000 21:32:45,0,0,0.003334165
22/01/2000 21:33:00,0,0,0.003232929
22/01/2000 21:33:15,0,0,0.003189527
22/01/2000 21:33:30,0,0,0.003336308
22/01/2000 21:33:45,0,0,0.003356887
22/01/2000 21:34:00,0,0,0.003286845
22/01/2000 21:34:15,0,0,0.003347076
22/01/2000 21:34:30,0,0,0.003402395
22/01/2000 21:34:45,0,0,0.004207491
22/01/2000 21:35:00,0,0,0.004326443
22/01/2000 21:35:15,0,0,0.004298028
22/01/2000 21:35:30,0,0,0.004236781
22/01/2000 21:35:45,0,0,0.004476799
22/01/2000 21:36:00,0,0,0.003465847
22/01/2000 21:36:15,0,0,0.003462603
22/01/2000 21:36:30,0,0,0.003396968
22/01/2000 21:36:45,0,0,0.003389027
22/01/2000 21:37:00,0,0,0.003337536
22/01/2000 21:37:15,0,0,0.003325312
22/01/2000 21:37:30,0,0,0.003282394
22/01/2000 21:37:45,0,0,0.003287894
22/01/2000 21:38:00,0,0,0.003594808
22/01/2000 21:38:15,0,0,0.003297409
22/01/2000 21:38:30,0,0,0.003424725
22/01/2000 21:38:45,0,0,0.003337357
22/01/2000 21:39:00,0,0,0.003316556
22/01/2000 21:39:15,0,0,0.003222931
22/01/2000 21:39:30,0,0,0.003350335
22/01/2000 21:39:45,0,0,0.003298573
22/01/2000 21:40:00,0,0,0.003334743
22/01/2000 21:40:15,0,0,0.003207687
22/01/2000 21:40:30,0,0,0.003417103
22/01/2000 21:40:45,0,0,0.003322483
22/01/2000 21:41:00,0,0,0.003254099
22/01/2000 21:41:15,0,0,0.003261302
22/01/2000 21:41:30,0,0,0.00331044
22/01/2000 21:41:45,0,0,0.00333019
22/01/2000 21:42:00,0,0,0.003334887
22/01/2000 21:42:15,0,0,0.003308628
22/01/2000 21:42:30,0,0,0.003316688
22/01/2000 21:42:45,0,0,0.003475436
22/01/2000 21:43:00,0,0,0.003373798
22/01/2000 21:43:15,0,0,0.003418213
22/01/2000 21:43:30,0,0,0.003352929
22/01/2000 21:43:45,0,0,0.003361443
22/01/2000 21:44:00,0,0,0.003302703
22/01/2000 21:44:15,0,0,0.003311156
22/01/2000 21:44:30,0,0,0.003420996
22/01/2000 21:44:45,0,0,0.003474269
22/01/2000 21:45:00,0,0,0.003407953
22/01/2000 21:45:15,0,0,0.003359388
22/01/2000 21:45:30,0,0,0.003336989
22/01/2000 21:45:45,0,0,0.003371105
22/01/2000 21:46:00,0,0,0.003424965
22/01/2000 21:46:15,0,0,0.003466509
22/01/2000 21:46:30,0,0,0.003393481
22/01/2000 21:46:45,0,0,0.003320579
22/01/2000 21:47:00,0,0,0.003302131
22/01/2000 21:47:15,0,0,0.00325979
22/01/2000 21:47:30,0,0,0.003424046
22/01/2000 21:47:45,0,0,0.003388292
22/01/2000 21:48:00,0,0,0.003365249
22/01/2000 21:48:15,0,0,0.003322374
22/01/2000 21:48:30,0,0,0.003273587
22/01/2000 21:48:45,0,0,0.003254172
22/01/2000 21:49:00,0,0,0.003301188
22/01/2000 21:49:15,0,0,0.003152864
22/01/2000 21:49:30,0,0,0.003170788
22/01/2000 21:49:45,0,0,0.003316871
22/01/2000 21:50:00,0,0,0.00325876
22/01/2000 21:50:15,0,0,0.003248189
22/01/2000 21:50:30,0,0,0.00322979
22/01/2000 21:50:45,0,0,0.003439529
22/01/2000 21:51:00,0,0,0.003312806
22/01/2000 21:51:15,0,0,0.003287171
22/01/2000 21:51:30,0,0,0.003288361
